species1	species2	replicate
441	Sebastes_chlorostictus	Sebastes_rosenblatti	79
442	Sebastes_variegatus	Sebastes_zacentrus	79
443	Sebastes_flavidus	Sebastes_melanops	79
444	Sebastes_caurinus	Sebastes_proriger	80
445	Sebastes_ciliatus	Sebastes_mystinus	80
446	Sebastes_flavidus	Sebastes_melanops	80
447	Sebastes_levis	Sebastes_paucispinis	80
448	Sebastes_chlorostictus	Sebastes_ensifer	80
449	Sebastes_variegatus	Sebastes_zacentrus	80
450	Sebastes_chlorostictus	Sebastes_ensifer	81
451	Sebastes_elongatus	Sebastes_paucispinis	81
452	Sebastes_entomelas	Sebastes_zacentrus	81
453	Sebastes_flavidus	Sebastes_melanops	81
454	Sebastes_caurinus	Sebastes_saxicola	81
455	Sebastes_caurinus	Sebastes_miniatus	82
456	Sebastes_goodei	Sebastes_levis	82
457	Sebastes_flavidus	Sebastes_variegatus	82
458	Sebastes_chlorostictus	Sebastes_rosenblatti	82
459	Sebastes_entomelas	Sebastes_mystinus	82
460	Sebastes_miniatus	Sebastes_zacentrus	83
461	Sebastes_levis	Sebastes_paucispinis	83
462	Sebastes_flavidus	Sebastes_mystinus	83
463	Sebastes_elongatus	Sebastes_rosenblatti	83
464	Sebastes_caurinus	Sebastes_saxicola	83
465	Sebastes_entomelas	Sebastes_zacentrus	84
466	Sebastes_ensifer	Sebastes_goodei	84
467	Sebastes_caurinus	Sebastes_elongatus	84
468	Sebastes_flavidus	Sebastes_melanops	84
469	Sebastes_chlorostictus	Sebastes_rosenblatti	84
470	Sebastes_chlorostictus	Sebastes_entomelas	85
471	Sebastes_proriger	Sebastes_zacentrus	85
